DATA_LANCAMENTO_OBRA;TITULO_ORIGINAL;CPB_ROE;TIPO_OBRA;PAIS_OBRA;PUBLICO_TOTAL;RENDA_TOTAL;RAZAO_SOCIAL_DISTRIBUIDORA;REGISTRO_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA
11/01/2024;THE BEEKEEPER;E2300491300000;FICÇÃO;ESTADOS UNIDOS;17368;R$ 355.584,29;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
11/01/2024;THE BEEKEEPER;E2300491300000;FICÇÃO;ESTADOS UNIDOS;151;R$ 3.720,00;STARK'S CINEMA E LANCHONETE LTDA.;5465;32.917.296/0001-04
11/01/2024;THE HOLDOVERS;E2300460500000;FICÇÃO;ESTADOS UNIDOS;333;R$ 8.500,00;STARK'S CINEMA E LANCHONETE LTDA.;5465;32.917.296/0001-04
11/01/2024;THE HOLDOVERS;E2300460500000;FICÇÃO;ESTADOS UNIDOS;74539;R$ 1.854.494,63;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
04/01/2024;DOGMAN;E2300423900000;FICÇÃO;FRANÇA;13;R$ 270,00;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
04/01/2024;IL SOL DELL'AVVENIRE;E2300511100000;FICÇÃO;ITÁLIA;21464;R$ 395.342,14;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
04/01/2024;MIGRATION;E2300459300000;ANIMAÇÃO;ESTADOS UNIDOS;102;R$ 1.110,00;CINE CAXAMBU LTDA;53644;50.552.809/0001-02
04/01/2024;MIGRATION;E2300459300000;ANIMAÇÃO;ESTADOS UNIDOS;1327;R$ 33.100,00;STARK'S CINEMA E LANCHONETE LTDA.;5465;32.917.296/0001-04
04/01/2024;MIGRATION;E2300459300000;ANIMAÇÃO;ESTADOS UNIDOS;1366638;R$ 25.072.744,68;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
04/01/2024;PRISCILLA;E2300508800000;FICÇÃO;ESTADOS UNIDOS;90058;R$ 2.091.075,06;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
04/01/2024;WISH;E2300491500000;ANIMAÇÃO;ESTADOS UNIDOS;241;R$ 2.690,00;CINE CAXAMBU LTDA;53644;50.552.809/0001-02
04/01/2024;WISH;E2300491500000;ANIMAÇÃO;ESTADOS UNIDOS;1266;R$ 31.700,00;STARK'S CINEMA E LANCHONETE LTDA.;5465;32.917.296/0001-04
04/01/2024;WISH;E2300491500000;ANIMAÇÃO;ESTADOS UNIDOS;1981766;R$ 37.607.890,44;THE WALT DISNEY COMPANY (BRASIL) LTDA.;18398;73.042.962/0001-87
28/12/2023;ARRÊTE AVEC TES MENSONGES;E2300372800000;FICÇÃO;FRANÇA;1968;R$ 31.873,47;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
28/12/2023;LORD OF MISRULES;E2300441900000;FICÇÃO;INGLATERRA;13618;R$ 256.726,00;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
28/12/2023;MAMONAS ASSASSINAS O FILME;B2300531200000;FICÇÃO;BRASIL;82;R$ 970,00;CINE CAXAMBU LTDA;53644;50.552.809/0001-02
28/12/2023;MAMONAS ASSASSINAS O FILME;B2300531200000;FICÇÃO;BRASIL;877853;R$ 16.283.281,94;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32
28/12/2023;MINHA IRMÃ E EU;B2300519200000;FICÇÃO;BRASIL;270;R$ 3.060,00;CINE CAXAMBU LTDA;53644;50.552.809/0001-02
28/12/2023;MINHA IRMÃ E EU;B2300519200000;FICÇÃO;BRASIL;2299370;R$ 43.733.414,20;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
28/12/2023;WILLY WONKA & THE CHOCOLATE FACTORY;E1402797500000;FICÇÃO;ESTADOS UNIDOS;64;R$ 1.580,00;STARK'S CINEMA E LANCHONETE LTDA.;5465;32.917.296/0001-04
21/12/2023;AN CAILÍN CIÚIN;E2300314800000;FICÇÃO;IRLANDA;17669;R$ 343.259,69;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
21/12/2023;AQUAMAN AND THE LOST KINGDOM;E2300354500000;FICÇÃO;ESTADOS UNIDOS;253;R$ 2.970,00;CINE CAXAMBU LTDA;53644;50.552.809/0001-02
21/12/2023;AQUAMAN AND THE LOST KINGDOM;E2300354500000;FICÇÃO;ESTADOS UNIDOS;599;R$ 15.520,00;STARK'S CINEMA E LANCHONETE LTDA.;5465;32.917.296/0001-04
21/12/2023;AQUAMAN AND THE LOST KINGDOM;E2300354500000;FICÇÃO;ESTADOS UNIDOS;3902270;R$ 77.609.018,67;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
21/12/2023;IRACEMAS;B2300148100000;DOCUMENTÁRIO;BRASIL;90;R$ 1.012,50;LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA;22808;05.249.852/0001-30
21/12/2023;PROPRIEDADE;B1900126500000;FICÇÃO;BRASIL;5619;R$ 57.018,64;VITRINE FILMES LTDA;16713;11.620.976/0001-83
